"";"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10";"X11";"X12";"X13";"X14";"X15";"X16";"X17";"X18";"X19";"X20";"X21";"X22";"X23"
"X11";0,738907097701997;0,555269857547227;-0,117349466223794;0,606072885634678;0,414280633191586;0,633278009718714;0,533807662515877;0,209977416658548;0,38415968127411;0,356881265942591;1;0,767256089871504;0,164802292481805;0,533099862263418;0,209977416658548;0,371503940523438;0,0906585505817535;0,278197554876603;0,4760701209675;0,536954428723511;0,585811553920228;0,643561022255266;0,0484634110178319
"X12";0,820509790567699;0,825052701593653;-0,0526275688736688;0,485093169703585;0,35027479627834;0,661796038679785;0,770493698646315;0,211919224762718;0,478160212908089;0,225679644755269;0,767256089871504;1;0,106808618783493;0,763133436538673;0,211919224762718;0,473806662694016;-0,0477959703828237;0,135949964374743;0,613225577331455;0,661428924730079;0,76560806643414;0,875360669245243;-0,0567308248539243
"X13";0,0634566817993859;0,0478994310989619;-0,0814602721887303;0,14579954426032;0,344824964732159;0,162447139843244;0,0636329836553749;0,0442837214339838;0,167024955998195;0,0680771074657104;0,164802292481805;0,106808618783493;1;0,0484715443869057;0,0442837214339838;0,158564957812319;0,0508004769640387;-0,0025587153946672;0,0973025141803482;0,0495769347810391;0,0557628761952169;0,0554329437236217;0,0214228180822698
"X14";0,692694646602793;0,808448518789545;-0,0717081833820255;0,233766647596406;0,361699228767227;0,549091249296219;0,992017296253976;0,16411673407021;0,396965736072629;0,0514734024912531;0,533099862263418;0,763133436538673;0,0484715443869057;1;0,16411673407021;0,393321612170227;-0,124261837859732;-0,0460753152111644;0,620976154994787;0,562220991094058;0,766354662495418;0,825292338147826;-0,131624731302481
"X15";0,188766420997858;0,190124200826333;0,0785577454754325;0,143401393384181;0,152025974569061;0,212751740534175;0,175682076337203;1;0,0523733504690146;0,0750612165163636;0,209977416658548;0,211919224762718;0,0442837214339838;0,16411673407021;1;0,0725055799009171;0,0936091044997393;-0,0333000256410296;0,139794871322848;0,160970592591189;0,179250107621273;0,20162645944943;0,142417668216183
"X16";0,380598472679835;0,469739638419163;-0,022203165688132;0,186207179983376;0,212625014585969;0,400329994736888;0,406422849970548;0,0725055799009171;0,992578024032176;0,0351957945193137;0,371503940523438;0,473806662694016;0,158564957812319;0,393321612170227;0,0725055799009171;1;-0,132147486433947;-0,0754087613849185;0,288813015515217;0,447763332891333;0,464159581324969;0,473146052801895;-0,181543165338672
"X17";-0,124706401029761;-0,121971294312357;0,149889606428325;0,130271471014113;-0,0975388171633174;-0,0701797301351553;-0,142373007574656;0,0936091044997393;-0,12672649621272;0,0682341347799889;0,0906585505817535;-0,0477959703828237;0,0508004769640387;-0,124261837859732;0,0936091044997393;-0,132147486433947;1;-0,0980107269085258;-0,0197980547544865;-0,0552844621932767;-0,127825486853443;-0,130401820742956;0,844856364161009
"X18";0,285582476055541;0,0174676916432661;-0,0600258428234101;0,326209577210422;0,218881683819494;0,131669600581346;-0,042443897682375;-0,0333000256410296;-0,0857843350950496;0,31644196699817;0,278197554876603;0,135949964374743;-0,0025587153946672;-0,0460753152111644;-0,0333000256410296;-0,0754087613849185;-0,0980107269085258;1;0,031625789147146;-0,0233090756592616;0,0932871672021647;0,0967332886656741;-0,0638708186074643
"X19";0,593808957727553;0,580006506823022;-0,0619898704843236;0,321873564063089;0,472758078448569;0,648261055021243;0,639732493862966;0,139794871322848;0,302758715987921;0,139555404552751;0,4760701209675;0,613225577331455;0,0973025141803482;0,620976154994787;0,139794871322848;0,288813015515217;-0,0197980547544865;0,031625789147146;1;0,418926618417212;0,70360429062768;0,62032810671723;-0,119005922435191
"X20";0,555023358003165;0,686408608764246;0,100017368162569;0,440611733396838;0,0901379058168375;0,555943061313156;0,563445956450703;0,160970592591189;0,447255523951226;0,12918300420306;0,536954428723511;0,661428924730079;0,0495769347810391;0,562220991094058;0,160970592591189;0,447763332891333;-0,0552844621932767;-0,0233090756592616;0,418926618417212;1;0,582094680464871;0,69105752700349;-0,0678169583437173
"X21";0,730786772978789;0,826685766377363;-0,0523203177310062;0,325743407630169;0,349179931924684;0,60938084451061;0,782446805451472;0,179250107621273;0,474507081365982;0,134243016942836;0,585811553920228;0,76560806643414;0,0557628761952169;0,766354662495418;0,179250107621273;0,464159581324969;-0,127825486853443;0,0932871672021647;0,70360429062768;0,582094680464871;1;0,850459844157634;-0,128826735592019
"X22";0,841225738659106;0,978874529547997;-0,0408604394231423;0,428452932038662;0,338959320206056;0,641179337296877;0,836683106517138;0,20162645944943;0,481847767592559;0,169602027892578;0,643561022255266;0,875360669245243;0,0554329437236217;0,825292338147826;0,20162645944943;0,473146052801895;-0,130401820742956;0,0967332886656741;0,62032810671723;0,69105752700349;0,850459844157634;1;-0,120246041044671
"X23";-0,100872013596277;-0,117812445623977;0,222284776879669;0,0909565072407571;-0,0603929122812537;-0,123265329423226;-0,158656300212721;0,142417668216183;-0,177948838746492;0,0929197452122154;0,0484634110178319;-0,0567308248539243;0,0214228180822698;-0,131624731302481;0,142417668216183;-0,181543165338672;0,844856364161009;-0,0638708186074643;-0,119005922435191;-0,0678169583437173;-0,128826735592019;-0,120246041044671;1
