"delegacia_id";"delegacia";"RC1";"RC2";"RC3";"RC4"
1254;"017 DP - Ipiranga";-0,726174419402657;-0,575881101253917;-0,514051260600159;1,09884877571544
1255;"016 DP - Vila Clementino";-0,531004274902666;0,333269336516017;-0,490291660082238;1,04464563765099
1256;"015 DP - Itaim Bibi";-0,688830722819821;1,22991242301679;-0,378795694915984;0,153593395315227
1257;"014 DP - Pinheiros";-0,0380057110815655;2,83983622213312;0,0576586757441245;-0,78360891496964
1259;"013 DP - Casa Verde";-0,238705688307165;1,26231196595169;1,11099623234308;1,52976664113591
1262;"012 DP - Pari";-0,406940529020369;1,87760109885804;-0,413626086486026;0,0315606497140681
1265;"011 DP - Santo Amaro";0,307214836454065;1,51545968870918;-0,864675997925283;1,92876086133311
1267;"103 DP - Cohab Itaquera";-0,49680941950055;-0,924078657585073;0,795316452089644;-1,01148382003777
1268;"102 DP - Socorro";-0,97830170340192;-0,228353510241728;-0,429980520157934;-1,02502279720741
1269;"101 DP - Jardim das Imbuias";2,07342892156448;0,147465633768479;0,147577218510102;-0,319406123097188
1270;"100 DP - Jardim Herculano";1,98173041035159;-0,0680919225637407;-0,448674479847759;-1,22472785393156
1275;"010 DP - Penha de França";0,007592928834637;-0,104990057088489;-0,269894193251539;2,09044904409466
1410;"001 DP - Sé";1,25215571074879;4,77494544865762;0,119385285052847;-1,60426836406344
